name,cap_tracker_2025_link,display_name
GUTHRIE QUIST,
GWEN NICHOLSON,
HANNAH TREBAS,
JADE SOOKTIS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jade-Sooktis/
JAMES H BERGSTROM,
JAMES REAVIS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/James-Reavis/
JAMIE L ISALY,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jamie-Isaly/
JANE GILLETTE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jane-Gillette/
JANE WEBER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jane-Weber/
JARED A FRERICHS,
JASON GUNDERSON,
JEDEDIAH HINKLE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jedediah-Hinkle/
JEFF STANEK,
JEFFREY BENSON,
JENNIFER CARLSON,
JENNIFER LYNCH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jennifer-Lynch/
JEREMIAH DAWSON,
JEREMY MYGLAND,
JERRY SCHILLINGER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jerry-Schillinger/
JESSICA WICKS,
JILL COHENOUR,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jill-Cohenour/
JILL SARK,
JODEE ETCHART,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jodee-Etchart/
JOE READ,
JOHN FITZPATRICK,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/John-Fitzpatrick/
JOHN HANSEN,
JOHN LOONEY SR,
JONATHAN KARLEN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jonathan-Karlen/
JONATHAN WINDY BOY,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jonathan-Windy-Boy/
JOSH KASSMIER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Josh-Kassmier/
JOSHUA VISOCAN,
JULIE DOOLING,
KAREN LYNCOLN,
KATHY HOILAND,
KATHY LOVE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Kathy-Love/
KATIE SULLIVAN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Katie-Sullivan/
KATIE ZOLNIKOV,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Katie-Zolnikov/
KELLY KORTUM,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Kelly-Kortum/
KEN WALSH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Ken-Walsh/
KIM DAILEY,
KYLE MCMURRAY,
LANCE FOURSTAR,
LARRY BREWSTER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Larry-Brewster/
LAURA SMITH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Laura-Smith/
LEE DEMING,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Lee-Deming/
LEE HUESTIS,
LELA GRAHAM,
LINDA E REKSTEN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Linda-Reksten/
LINDSEY JORDAN,
LISA VERLANIC,
LLEW JONES,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Llew-Jones/
LOLA SHELDON-GALLOWAY,
LUI SALINA,
LUKAS SCHUBERT,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Lukas-Schubert/
LYN BENNETT,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Lyn-Bennett/
LYN HELLEGAARD,
MARC J LEE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Marc-Lee/
MARILYN MARLER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Marilyn-Marler/
MARK (MJ) MCGINLEY,
MARK A THANE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Mark-Thane/
MARK H NICHOLSON,
MARK L WICKS,
MARQUIS L LAUDE,
MARTA BERTOGLIO,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Marta-Bertoglio/
MARTY MALONE,
MARY ANN NICHOLAS,
MARY M CAFERRO,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Mary-Caferro/
MATT REGIER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Matt-Regier/
MELISSA ROMANO,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Melissa-Romano/
MELISSA SMITH,
MELODY CUNNINGHAM,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Melody-Cunningham/
MICHELE BINKLEY,
MIKE FOX,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Mike-Fox/
MIKE NEWTON,
MIKE VINTON,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Mike-Vinton/
MIKE YAKAWICH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Mike-Yakawich/
MILES KNUDSEN,
MORGAN THIEL,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Morgan-Thiel/
NANCY KEMLER,
NEIL DURAM,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Neil-Duram/
NELLY NICOL,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Nelly-Nicol/
PATRICIA RAE PEPPERS,
PAUL C FIELDER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Paul-Fielder/
PAUL TUSS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Paul-Tuss/
PETER STRAND,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Peter-Strand/
RACHEL BURRIGHT,
RALPH FOSTER,
RANDYN GREGG,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Randyn-Gregg/
RAY SHAW,
RHONDA KNUDSEN,
RICHARD L ARMERDING,
RINA FONTANA MOORE,
RIO ROLAND,
ROB TRACY,
RON MARSHALL,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Ron-Marshall/
RONALD K PAULICK,
ROY HANDLEY,
RUDOLF HADEN,
RUSSEL MINER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Russ-Miner/
SANDOR R HOPKINS,
SARA NOVAK,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Sara-Novak/
SCOTT P DEMAROIS,
SCOTT ROSENZWEIG,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Scott-Rosenzweig/
SCOTT SALES,
SHANE KLAKKEN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Shane-Klakken/
SHANNON MANESS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Shannon-Maness/
SHARON STEWART PEREGOY,
SHAUN PANDINA,
SHAWN C GIESICK,
SHELLY R FYANT,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Shelly-Fyant/
SHERRY ESSMANN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Sherry-Essmann/
SHIRLEY AZZOPARDI,
SIDNEY 'CHIP' FITZPATRICK,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Sidney-Fitzpatrick/
SJ HOWELL,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/SJ-Howell/
SK ROSSI,
