"district","race"
"STATE","UNITED STATES SENATOR"
"1ST CONGRESSIONAL","UNITED STATES REPRESENTATIVE"
"2ND CONGRESSIONAL","UNITED STATES REPRESENTATIVE"
"SENATE DISTRICT 1","STATE SENATOR DISTRICT 1"
"SENATE DISTRICT 4","STATE SENATOR DISTRICT 4"
"SENATE DISTRICT 6","STATE SENATOR DISTRICT 6"
"SENATE DISTRICT 10","STATE SENATOR DISTRICT 10"
"SENATE DISTRICT 11","STATE SENATOR DISTRICT 11"
"SENATE DISTRICT 12","STATE SENATOR DISTRICT 12"
"SENATE DISTRICT 14","STATE SENATOR DISTRICT 14"
"SENATE DISTRICT 18","STATE SENATOR DISTRICT 18"
"SENATE DISTRICT 19","STATE SENATOR DISTRICT 19"
"SENATE DISTRICT 22","STATE SENATOR DISTRICT 22"
"SENATE DISTRICT 23","STATE SENATOR DISTRICT 23"
"SENATE DISTRICT 25","STATE SENATOR DISTRICT 25"
"SENATE DISTRICT 28","STATE SENATOR DISTRICT 28"
"SENATE DISTRICT 29","STATE SENATOR DISTRICT 29"
"SENATE DISTRICT 31","STATE SENATOR DISTRICT 31"
"SENATE DISTRICT 32","STATE SENATOR DISTRICT 32"
"SENATE DISTRICT 34","STATE SENATOR DISTRICT 34"
"SENATE DISTRICT 42","STATE SENATOR DISTRICT 42"
"HOUSE DISTRICT 1","STATE REPRESENTATIVE DISTRICT 1"
"HOUSE DISTRICT 2","STATE REPRESENTATIVE DISTRICT 2"
"HOUSE DISTRICT 3","STATE REPRESENTATIVE DISTRICT 3"
"HOUSE DISTRICT 4","STATE REPRESENTATIVE DISTRICT 4"
"HOUSE DISTRICT 5","STATE REPRESENTATIVE DISTRICT 5"
"HOUSE DISTRICT 6","STATE REPRESENTATIVE DISTRICT 6"
"HOUSE DISTRICT 7","STATE REPRESENTATIVE DISTRICT 7"
"HOUSE DISTRICT 8","STATE REPRESENTATIVE DISTRICT 8"
"HOUSE DISTRICT 9","STATE REPRESENTATIVE DISTRICT 9"
"HOUSE DISTRICT 10","STATE REPRESENTATIVE DISTRICT 10"
"HOUSE DISTRICT 12","STATE REPRESENTATIVE DISTRICT 12"
"HOUSE DISTRICT 13","STATE REPRESENTATIVE DISTRICT 13"
"HOUSE DISTRICT 14","STATE REPRESENTATIVE DISTRICT 14"
"HOUSE DISTRICT 15","STATE REPRESENTATIVE DISTRICT 15"
"HOUSE DISTRICT 17","STATE REPRESENTATIVE DISTRICT 17"
"HOUSE DISTRICT 19","STATE REPRESENTATIVE DISTRICT 19"
"HOUSE DISTRICT 20","STATE REPRESENTATIVE DISTRICT 20"
"HOUSE DISTRICT 21","STATE REPRESENTATIVE DISTRICT 21"
"HOUSE DISTRICT 22","STATE REPRESENTATIVE DISTRICT 22"
"HOUSE DISTRICT 23","STATE REPRESENTATIVE DISTRICT 23"
"HOUSE DISTRICT 24","STATE REPRESENTATIVE DISTRICT 24"
"HOUSE DISTRICT 25","STATE REPRESENTATIVE DISTRICT 25"
"HOUSE DISTRICT 26","STATE REPRESENTATIVE DISTRICT 26"
"HOUSE DISTRICT 30","STATE REPRESENTATIVE DISTRICT 30"
"HOUSE DISTRICT 33","STATE REPRESENTATIVE DISTRICT 33"
"HOUSE DISTRICT 36","STATE REPRESENTATIVE DISTRICT 36"
"HOUSE DISTRICT 37","STATE REPRESENTATIVE DISTRICT 37"
"HOUSE DISTRICT 39","STATE REPRESENTATIVE DISTRICT 39"
"HOUSE DISTRICT 40","STATE REPRESENTATIVE DISTRICT 40"
"HOUSE DISTRICT 42","STATE REPRESENTATIVE DISTRICT 42"
"HOUSE DISTRICT 43","STATE REPRESENTATIVE DISTRICT 43"
"HOUSE DISTRICT 44","STATE REPRESENTATIVE DISTRICT 44"
"HOUSE DISTRICT 45","STATE REPRESENTATIVE DISTRICT 45"
"HOUSE DISTRICT 46","STATE REPRESENTATIVE DISTRICT 46"
"HOUSE DISTRICT 47","STATE REPRESENTATIVE DISTRICT 47"
"HOUSE DISTRICT 48","STATE REPRESENTATIVE DISTRICT 48"
"HOUSE DISTRICT 49","STATE REPRESENTATIVE DISTRICT 49"
"HOUSE DISTRICT 50","STATE REPRESENTATIVE DISTRICT 50"
"HOUSE DISTRICT 51","STATE REPRESENTATIVE DISTRICT 51"
"HOUSE DISTRICT 52","STATE REPRESENTATIVE DISTRICT 52"
"HOUSE DISTRICT 53","STATE REPRESENTATIVE DISTRICT 53"
"HOUSE DISTRICT 54","STATE REPRESENTATIVE DISTRICT 54"
"HOUSE DISTRICT 55","STATE REPRESENTATIVE DISTRICT 55"
"HOUSE DISTRICT 57","STATE REPRESENTATIVE DISTRICT 57"
"HOUSE DISTRICT 58","STATE REPRESENTATIVE DISTRICT 58"
"HOUSE DISTRICT 59","STATE REPRESENTATIVE DISTRICT 59"
"HOUSE DISTRICT 60","STATE REPRESENTATIVE DISTRICT 60"
"HOUSE DISTRICT 61","STATE REPRESENTATIVE DISTRICT 61"
"HOUSE DISTRICT 62","STATE REPRESENTATIVE DISTRICT 62"
"HOUSE DISTRICT 63","STATE REPRESENTATIVE DISTRICT 63"
"HOUSE DISTRICT 64","STATE REPRESENTATIVE DISTRICT 64"
"HOUSE DISTRICT 65","STATE REPRESENTATIVE DISTRICT 65"
"HOUSE DISTRICT 66","STATE REPRESENTATIVE DISTRICT 66"
"HOUSE DISTRICT 67","STATE REPRESENTATIVE DISTRICT 67"
"HOUSE DISTRICT 68","STATE REPRESENTATIVE DISTRICT 68"
"HOUSE DISTRICT 71","STATE REPRESENTATIVE DISTRICT 71"
"HOUSE DISTRICT 75","STATE REPRESENTATIVE DISTRICT 75"
"HOUSE DISTRICT 77","STATE REPRESENTATIVE DISTRICT 77"
"HOUSE DISTRICT 78","STATE REPRESENTATIVE DISTRICT 78"
"HOUSE DISTRICT 80","STATE REPRESENTATIVE DISTRICT 80"
"HOUSE DISTRICT 81","STATE REPRESENTATIVE DISTRICT 81"
"HOUSE DISTRICT 82","STATE REPRESENTATIVE DISTRICT 82"
"HOUSE DISTRICT 83","STATE REPRESENTATIVE DISTRICT 83"
"HOUSE DISTRICT 84","STATE REPRESENTATIVE DISTRICT 84"
"HOUSE DISTRICT 85","STATE REPRESENTATIVE DISTRICT 85"
"HOUSE DISTRICT 86","STATE REPRESENTATIVE DISTRICT 86"
"HOUSE DISTRICT 87","STATE REPRESENTATIVE DISTRICT 87"
"HOUSE DISTRICT 88","STATE REPRESENTATIVE DISTRICT 88"
"HOUSE DISTRICT 89","STATE REPRESENTATIVE DISTRICT 89"
"HOUSE DISTRICT 91","STATE REPRESENTATIVE DISTRICT 91"
"HOUSE DISTRICT 93","STATE REPRESENTATIVE DISTRICT 93"
"HOUSE DISTRICT 94","STATE REPRESENTATIVE DISTRICT 94"
"HOUSE DISTRICT 99","STATE REPRESENTATIVE DISTRICT 99"
"HOUSE DISTRICT 100","STATE REPRESENTATIVE DISTRICT 100"
