"District","Race","Name","Filing Date","Party Preference"
"SENATE DISTRICT 4","STATE SENATOR DISTRICT 4","AMY REGIER","2/17/2026 8:51:18 AM","REP"
"SENATE DISTRICT 32","STATE SENATOR DISTRICT 32","BECKY EDWARDS","2/17/2026 10:02:34 AM","DEM"
"SENATE DISTRICT 43","STATE SENATOR DISTRICT 43","DAVID BEDEY","2/17/2026 8:39:37 AM","REP"
"SENATE DISTRICT 11","STATE SENATOR DISTRICT 11","ED BUTTREY","3/3/2026 3:55:44 PM","REP"
"SENATE DISTRICT 14","STATE SENATOR DISTRICT 14","ERIC ALBUS","2/17/2026 10:39:42 AM","REP"
"SENATE DISTRICT 12","STATE SENATOR DISTRICT 12","GEORGE NIKOLAKAKOS","2/17/2026 2:41:46 PM","REP"
"SENATE DISTRICT 18","STATE SENATOR DISTRICT 18","GREG KMETZ","2/17/2026 3:50:30 PM","REP"
"HOUSE DISTRICT 81","STATE REPRESENTATIVE DISTRICT 81","JANET ELLIS","2/17/2026 2:24:11 PM","DEM"
"HOUSE DISTRICT 34","STATE REPRESENTATIVE DISTRICT 34","JASON ELLSWORTH","3/4/2026 11:12:02 AM","REP"
"PUBLIC SERVICE COMMISSIONER DISTRICT 1","PUBLIC SERVICE COMMISSIONER, DISTRICT 1","JEREMY TREBAS","2/18/2026 9:07:16 AM","REP"
"2ND CONGRESSIONAL","UNITED STATES REPRESENTATIVE","JONATHAN WINDY BOY","2/24/2026 3:49:44 PM","DEM"
"SENATE DISTRICT 43","STATE SENATOR DISTRICT 43","KATHY LOVE","2/17/2026 10:43:41 AM","REP"
"SENATE DISTRICT 32","STATE SENATOR DISTRICT 32","KELLY KORTUM","2/17/2026 12:55:21 PM","DEM"
"SENATE DISTRICT 9","STATE SENATOR DISTRICT 9","LLEW JONES","2/23/2026 10:42:57 AM","REP"
"SENATE DISTRICT 1","STATE SENATOR DISTRICT 1","NEIL DURAM","3/3/2026 3:29:58 PM","REP"
"SENATE DISTRICT 29","STATE SENATOR DISTRICT 29","SCOTT ROSENZWEIG","2/17/2026 3:03:49 PM","DEM"
"SENATE DISTRICT 9","STATE SENATOR DISTRICT 9","ZACK WIRTH","2/17/2026 10:10:10 AM","REP"
"1ST CONGRESSIONAL","UNITED STATES REPRESENTATIVE","CHRISTI JACOBSEN","3/3/2026 11:23:45 AM","REP"
