"district","party"
"HOUSE DISTRICT 001","DEM"
"HOUSE DISTRICT 003","REP"
"HOUSE DISTRICT 004","REP"
"HOUSE DISTRICT 006","REP"
"HOUSE DISTRICT 007","REP"
"HOUSE DISTRICT 013","REP"
"HOUSE DISTRICT 015","DEM"
"HOUSE DISTRICT 017","REP"
"HOUSE DISTRICT 019","REP"
"HOUSE DISTRICT 020","REP"
"HOUSE DISTRICT 021","REP"
"HOUSE DISTRICT 022","REP"
"HOUSE DISTRICT 023","REP"
"HOUSE DISTRICT 028","REP"
"HOUSE DISTRICT 029","BOTH"
"HOUSE DISTRICT 031","DEM"
"HOUSE DISTRICT 033","REP"
"HOUSE DISTRICT 034","REP"
"HOUSE DISTRICT 036","REP"
"HOUSE DISTRICT 040","REP"
"HOUSE DISTRICT 046","DEM"
"HOUSE DISTRICT 047","REP"
"HOUSE DISTRICT 049","REP"
"HOUSE DISTRICT 051","REP"
"HOUSE DISTRICT 052","REP"
"HOUSE DISTRICT 053","REP"
"HOUSE DISTRICT 055","REP"
"HOUSE DISTRICT 061","DEM"
"HOUSE DISTRICT 067","REP"
"HOUSE DISTRICT 068","REP"
"HOUSE DISTRICT 069","REP"
"HOUSE DISTRICT 076","REP"
"HOUSE DISTRICT 080","DEM"
"HOUSE DISTRICT 081","DEM"
"HOUSE DISTRICT 084","BOTH"
"HOUSE DISTRICT 085","REP"
"HOUSE DISTRICT 086","REP"
"HOUSE DISTRICT 090","REP"
"HOUSE DISTRICT 092","DEM"
"HOUSE DISTRICT 093","DEM"
"HOUSE DISTRICT 094","DEM"
