name,cap_tracker_2023_link,display_name
STEVE GIST,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Steve-Gist/,
ALANAH GRIFFITH,,
ALEXANDER CLARK,,
ALEXANDER COLAFRANCESCO,,
AMY REGIER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Amy-Regier/,
ANJA WOOKEYHUFFMAN,,
ANNE ROSS,,
ANNE WOODLAND,,
ANTHONY NICASTRO,,
BECKY BEARD,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Becky-Beard/,
BECKY EDWARDS,,
BETH SIBERT,,
BILL HODGES,,
BILL MERCER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Bill-Mercer/,
BOB CARTER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Bob-Carter/,
BOB PHALEN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Bob-Phalen/,
BRAD BARKER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Brad-Barker/,
BRAD DAVIS,,
BRANDON LER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Brandon-Ler/,
BRAXTON MITCHELL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Braxton-Mitchell/,
BRIAN CLOSE,,
C B PEARSON,,
CADE SCATOLINI,,
CALEB HINKLE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Caleb-Hinkle/,
CARL ANDERSON,,
CARL GLIMM,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Carl-Glimm/,
CAROLE BOERNER,,
CATHY MITCHELL,,
CHARLES A HEADLEY,,
CHRIS FRIEDEL,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Chris-Friedel/,
CHRISTIAN DANIEL TAKESENEMY,,
CHRISTOPHER POPE,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Chris-Pope/,
CHRISTOPHER ST JEAN,,
COLTON LITTLE,,
CONNIE KEOGH,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Connie-Keogh/,
CORA NEUMANN,,
COURTENAY SPRUNGER,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Courtenay-Sprunger/,
CURTIS J COCHRAN,,
CURTIS SCHOMER,,
DAKOTA V ADAMS,,
DANA  DARLINGTON,,
DARLEAN NEWMAN,,
DAVE FERN,https://apps.montanafreepress.org/capitol-tracker-2023/lawmakers/Dave-Fern/,
DAVE KESLER III,,
